














window:   5%|██▍                                             | 1025/19999 [00:30<09:16, 34.09it/s]














window:  10%|████▊                                           | 1985/19999 [00:58<08:44, 34.34it/s]















window:  15%|███████▏                                        | 3017/19999 [01:28<08:16, 34.21it/s]















window:  20%|█████████▋                                      | 4025/19999 [01:58<07:48, 34.13it/s]














window:  25%|███████████▉                                    | 4985/19999 [02:26<07:17, 34.28it/s]















window:  30%|██████████████▍                                 | 6017/19999 [02:56<06:48, 34.20it/s]















window:  35%|████████████████▉                               | 7049/19999 [03:26<06:12, 34.74it/s]














window:  40%|███████████████████▏                            | 7997/19999 [03:54<05:48, 34.44it/s]















window:  45%|█████████████████████▋                          | 9029/19999 [04:24<05:19, 34.31it/s]














window:  50%|███████████████████████▉                        | 9993/19999 [04:52<04:50, 34.41it/s]















window:  55%|█████████████████████████▉                     | 11025/19999 [05:23<04:20, 34.43it/s]















window:  60%|████████████████████████████▎                  | 12041/19999 [05:52<03:51, 34.40it/s]














window:  65%|██████████████████████████████▌                | 12997/19999 [06:20<03:25, 34.04it/s]















window:  70%|████████████████████████████████▉              | 14025/19999 [06:51<02:54, 34.19it/s]














window:  75%|███████████████████████████████████▏           | 14973/19999 [07:18<02:24, 34.79it/s]















window:  80%|█████████████████████████████████████▋         | 16017/19999 [07:48<01:54, 34.73it/s]














window:  85%|███████████████████████████████████████▉       | 16993/19999 [08:17<01:27, 34.51it/s]















window:  90%|██████████████████████████████████████████▎    | 18017/19999 [08:46<00:56, 34.81it/s]














window:  95%|████████████████████████████████████████████▋  | 18993/19999 [09:14<00:29, 34.62it/s]















window: 100%|███████████████████████████████████████████████| 19999/19999 [09:44<00:00, 34.23it/s]
