














sink:   5%|██▌                                               | 1045/19999 [00:30<09:01, 34.98it/s]














sink:  10%|█████                                             | 2025/19999 [00:58<08:32, 35.06it/s]
















sink:  15%|███████▌                                          | 3037/19999 [01:30<09:02, 31.25it/s]

















sink:  20%|██████████                                        | 4031/19999 [02:04<09:15, 28.72it/s]

















sink:  25%|████████████▌                                     | 5000/19999 [02:38<08:42, 28.73it/s]

















sink:  30%|███████████████                                   | 6023/19999 [03:12<07:43, 30.14it/s]

















sink:  35%|█████████████████▌                                | 7049/19999 [03:46<07:11, 30.03it/s]
















sink:  40%|███████████████████▉                              | 7999/19999 [04:18<06:41, 29.88it/s]


















sink:  45%|██████████████████████▌                           | 9014/19999 [04:54<06:32, 27.95it/s]


















sink:  50%|████████████████████████▌                        | 10019/19999 [05:30<05:53, 28.24it/s]

















sink:  55%|██████████████████████████▉                      | 10982/19999 [06:04<05:19, 28.25it/s]

















sink:  60%|█████████████████████████████▎                   | 11948/19999 [06:39<04:45, 28.20it/s]


















sink:  65%|███████████████████████████████▊                 | 12959/19999 [07:14<04:08, 28.38it/s]


















sink:  70%|██████████████████████████████████▎              | 13982/19999 [07:51<03:32, 28.32it/s]


















sink:  75%|████████████████████████████████████▋            | 14996/19999 [08:26<02:56, 28.28it/s]

















sink:  80%|███████████████████████████████████████          | 15962/19999 [09:00<02:23, 28.22it/s]


















sink:  85%|█████████████████████████████████████████▌       | 16988/19999 [09:37<01:46, 28.31it/s]


















sink:  90%|████████████████████████████████████████████     | 18002/19999 [10:12<01:10, 28.40it/s]

















sink:  95%|██████████████████████████████████████████████▍  | 18971/19999 [10:47<00:36, 28.44it/s]


















sink: 100%|█████████████████████████████████████████████████| 19999/19999 [11:21<00:00, 29.32it/s]
