

















sink:   5%|██▌                                                | 991/19999 [00:36<11:32, 27.47it/s]


















sink:  10%|████▉                                             | 1984/19999 [01:12<10:55, 27.47it/s]




















sink:  15%|███████▍                                          | 2965/19999 [01:53<11:48, 24.03it/s]





















sink:  20%|█████████▉                                        | 3958/19999 [02:34<11:14, 23.79it/s]






















sink:  25%|████████████▌                                     | 5005/19999 [03:18<10:34, 23.64it/s]





















sink:  30%|██████████████▉                                   | 5992/19999 [04:00<09:53, 23.59it/s]





















sink:  35%|█████████████████▍                                | 6988/19999 [04:42<09:10, 23.64it/s]





















sink:  40%|███████████████████▉                              | 7987/19999 [05:25<08:29, 23.59it/s]





















sink:  45%|██████████████████████▍                           | 8971/19999 [06:06<07:46, 23.63it/s]





















sink:  50%|████████████████████████▉                         | 9967/19999 [06:49<07:05, 23.59it/s]





















sink:  55%|██████████████████████████▊                      | 10966/19999 [07:31<06:21, 23.67it/s]






















sink:  60%|█████████████████████████████▍                   | 11998/19999 [08:14<05:38, 23.67it/s]





















sink:  65%|███████████████████████████████▊                 | 13000/19999 [08:57<04:56, 23.64it/s]





















sink:  70%|██████████████████████████████████▎              | 13999/19999 [09:39<04:13, 23.68it/s]





















sink:  75%|████████████████████████████████████▋            | 14986/19999 [10:21<03:31, 23.68it/s]





















sink:  80%|███████████████████████████████████████▏         | 15982/19999 [11:03<02:50, 23.62it/s]





















sink:  85%|█████████████████████████████████████████▌       | 16975/19999 [11:45<02:08, 23.57it/s]






















sink:  90%|████████████████████████████████████████████     | 18007/19999 [12:29<01:24, 23.60it/s]





















sink:  95%|██████████████████████████████████████████████▌  | 19006/19999 [13:11<00:41, 23.71it/s]






















sink: 100%|█████████████████████████████████████████████████| 19999/19999 [13:53<00:00, 23.99it/s]
