


















window:   5%|██▍                                             | 1024/19999 [00:38<11:47, 26.83it/s]



















window:  10%|████▉                                           | 2047/19999 [01:16<11:07, 26.90it/s]


















window:  15%|███████▏                                        | 3019/19999 [01:52<10:31, 26.90it/s]



















window:  20%|█████████▋                                      | 4033/19999 [02:30<09:54, 26.88it/s]


















window:  25%|████████████                                    | 5008/19999 [03:06<09:16, 26.95it/s]



















window:  30%|██████████████▍                                 | 6022/19999 [03:44<08:39, 26.92it/s]


















window:  35%|████████████████▊                               | 6997/19999 [04:20<08:02, 26.93it/s]



















window:  40%|███████████████████▎                            | 8026/19999 [04:59<07:25, 26.89it/s]



















window:  45%|█████████████████████▋                          | 9040/19999 [05:36<06:46, 26.94it/s]


















window:  50%|███████████████████████▌                       | 10033/19999 [06:13<06:02, 27.46it/s]


















window:  55%|█████████████████████████▉                     | 11029/19999 [06:49<05:26, 27.43it/s]


















window:  60%|████████████████████████████▏                  | 12007/19999 [07:24<04:50, 27.47it/s]


















window:  65%|██████████████████████████████▌                | 13006/19999 [08:01<04:14, 27.50it/s]


















window:  70%|████████████████████████████████▊              | 13987/19999 [08:36<03:38, 27.55it/s]



















window:  75%|███████████████████████████████████▎           | 15025/19999 [09:14<03:05, 26.83it/s]


















window:  80%|█████████████████████████████████████▌         | 16009/19999 [09:51<02:27, 27.12it/s]



















window:  85%|████████████████████████████████████████       | 17032/19999 [10:29<01:49, 27.12it/s]


















window:  90%|██████████████████████████████████████████▎    | 18016/19999 [11:05<01:12, 27.19it/s]


















window:  95%|████████████████████████████████████████████▌  | 18988/19999 [11:40<00:37, 27.24it/s]



















window: 100%|███████████████████████████████████████████████| 19999/19999 [12:18<00:00, 27.09it/s]
