

















dense:   5%|██▍                                               | 994/19999 [00:36<11:29, 27.55it/s]


















dense:  10%|████▉                                            | 1990/19999 [01:12<10:54, 27.51it/s]


















dense:  15%|███████▎                                         | 2983/19999 [01:48<10:16, 27.59it/s]


















dense:  20%|█████████▋                                       | 3958/19999 [02:24<09:57, 26.82it/s]























dense:  25%|████████████▏                                    | 4997/19999 [03:10<16:26, 15.20it/s]































dense:  30%|██████████████▋                                  | 5995/19999 [04:12<16:37, 14.04it/s]





































dense:  35%|█████████████████▏                               | 6991/19999 [05:26<16:44, 12.95it/s]









































dense:  40%|███████████████████▌                             | 7999/19999 [06:48<17:54, 11.17it/s]















































dense:  45%|██████████████████████                           | 8987/19999 [08:23<17:24, 10.54it/s]



















































dense:  50%|████████████████████████▍                        | 9999/19999 [10:05<13:57, 11.94it/s]

























































dense:  55%|██████████████████████████▍                     | 11000/19999 [11:59<17:43,  8.46it/s]



























































dense:  60%|████████████████████████████▊                   | 12007/19999 [13:57<16:21,  8.14it/s]
































































dense:  65%|███████████████████████████████▏                | 12994/19999 [16:05<15:45,  7.41it/s]






































































dense:  70%|█████████████████████████████████▌              | 14002/19999 [18:25<14:21,  6.96it/s]








































































dense:  75%|███████████████████████████████████▉            | 14994/19999 [20:49<12:11,  6.84it/s]
















































































dense:  80%|██████████████████████████████████████▍         | 16005/19999 [23:29<10:47,  6.17it/s]



















































































dense:  85%|████████████████████████████████████████▊       | 17005/19999 [26:15<08:29,  5.88it/s]























































































dense:  90%|███████████████████████████████████████████▏    | 18002/19999 [29:09<05:42,  5.83it/s]



























































































dense:  95%|█████████████████████████████████████████████▌  | 19004/19999 [32:12<03:10,  5.22it/s]
































































































dense: 100%|████████████████████████████████████████████████| 19999/19999 [35:23<00:00,  9.42it/s]
